ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,timestamp
-3374.7557848400816,-3423.415532519285,-3483.6534838263374,-3481.7535855476362,2608.940316312351,2672.4416223098783,2566.047318702617,2587.907324779907,1779891389.3124714
-1106.2772400709678,-4046.1798365330505,-804.1263585241269,86.54595453094895,131843.03871906266,-1147.3373946353668,-669.0100632917957,-1045.592253874809,1779891389.3165689
-3367.871447547847,-3417.0676370939777,-3477.6185128234047,-3475.875076755891,2598.032665018161,2661.6010262490545,2555.1173156639716,2576.9326182523514,1779891389.3205106
-1801.6623618200258,-3941.3725067821156,1202.4120929732435,2396.1964125867385,130735.77800223566,428.88527260843193,1523.4054950959082,816.1963005299928,1779891389.3255692
-3372.5429621390062,-3421.2697650515756,-3481.3959576363513,-3479.2948936575526,2607.3086389671134,2670.899351942462,2564.482696590745,2586.3874061569463,1779891389.3285975
3182.7095964800833,-3896.1549277490294,4237.242548137016,5485.028682354532,129611.66407008936,3719.3302773630953,4521.824958541984,3995.55313534178,1779891389.3335922
-3372.364148183364,-3421.448579007218,-3481.9100477588236,-3480.0101494801224,2603.397083687435,2666.965444918328,2560.526437822156,2582.4758508772675,1779891389.3366609
-3798.65661843498,-4076.421746781081,-2894.1038720731585,-2182.67019780519,132650.29432181054,-3290.0873768433785,-2771.795126413718,-3181.8602301907817,1779891389.3426113
-3372.7217760946487,-3421.5603377294947,-3481.9771029921894,-3479.9877977356673,2605.431092432868,2669.066508897127,2562.6051500564995,2584.5098596227003,1779891389.3456295
2515.8005971670864,-3845.3494126021164,5381.785974715469,6565.243788390611,129181.41534106915,4720.755484194217,5721.42073171386,5121.768131466882,1779891389.3486245
-3372.1853342277213,-3420.845081906925,-3481.217143680709,-3479.0043209796336,2605.9675342997953,2669.558247275144,2563.141591923427,2585.0910049785384,1779891389.3515332
-1070.335634986834,-4040.033106807841,-781.864021046641,109.88117574228951,131839.50714343874,-1127.6008042813307,-646.4795048808462,-1024.3804483867227,1779891389.355634
-3368.2737789480425,-3417.4923202386285,-3478.1996581792428,-3476.21035292272,2598.256182462714,2661.846895438063,2555.3408331085247,2577.357301397002,1779891389.3604853
-1797.7284547958918,-3936.700992190956,1206.1001308083692,2393.7153689521992,130741.70121451632,439.97173785826425,1523.6513642849166,823.8853006226183,1779891389.3646245
-3368.765517326059,-3417.291154538531,-3477.7302715456813,-3475.45039361124,2603.486490665256,2667.09955538506,2560.6829000333432,2582.520554366178,1779891389.3686173
3198.713445510083,-3888.1530032340293,4263.997586250018,5508.498014032604,129602.9468897518,3746.6664608319356,4547.641223387865,4023.1575397440843,1779891389.37261
-3369.9278080377353,-3418.8110731614915,-3479.473707613195,-3477.551457590039,2600.84898481953,2664.4396977948786,2557.978338954251,2579.8830485204517,1779891389.3767326
